2001:240:1f2:33::,2001:240:1f2:33:ffff:ffff:ffff:ffff,JP
2001:240:1f2:34::,2001:240:1f3:12:ffff:ffff:ffff:ffff,AU
2001:240:1f3:13::,2001:240:1f3:14:ffff:ffff:ffff:ffff,JP
2001:240:1f3:15::,2001:240:1f3:18:ffff:ffff:ffff:ffff,AU
2001:240:1f3:19::,2001:240:1f3:1a:ffff:ffff:ffff:ffff,JP
2001:240:1f3:1b::,2001:240:1f3:1b:ffff:ffff:ffff:ffff,AU
2001:240:1f3:1c::,2001:240:1f3:1e:ffff:ffff:ffff:ffff,JP
2001:240:1f3:1f::,2001:240:1407:ffff:ffff:ffff:ffff:ffff,AU
2001:240:1408::,2001:240:1408:ffff:ffff:ffff:ffff:ffff,JP
2001:240:1409::,2001:240:140d:ffff:ffff:ffff:ffff:ffff,AU
2001:240:140e::,2001:240:140e:ffff:ffff:ffff:ffff:ffff,JP
2001:240:140f::,2001:240:1413:ffff:ffff:ffff:ffff:ffff,AU
2001:240:1414::,2001:240:1415:ffff:ffff:ffff:ffff:ffff,JP
2001:240:1416::,2001:240:141c:ffff:ffff:ffff:ffff:ffff,AU
2001:240:141d::,2001:240:141e:ffff:ffff:ffff:ffff:ffff,JP
2001:240:141f::,2001:240:1426:ffff:ffff:ffff:ffff:ffff,AU
2001:240:1427::,2001:240:1427:ffff:ffff:ffff:ffff:ffff,JP
2001:240:1428::,2001:240:142b:ffff:ffff:ffff:ffff:ffff,AU
2001:240:142c::,2001:240:142c:ffff:ffff:ffff:ffff:ffff,JP
2001:240:142d::,2001:240:1431:ffff:ffff:ffff:ffff:ffff,AU
2001:240:1432::,2001:240:1432:ffff:ffff:ffff:ffff:ffff,JP
2001:240:1433::,2001:240:1434:ffff:ffff:ffff:ffff:ffff,AU
2001:240:1435::,2001:240:1436:ffff:ffff:ffff:ffff:ffff,JP
2001:240:1437::,2001:240:1437:ffff:ffff:ffff:ffff:ffff,AU
2001:240:1438::,2001:240:1438:ffff:ffff:ffff:ffff:ffff,JP
2001:240:1439::,2001:240:1439:ffff:ffff:ffff:ffff:ffff,AU
2001:240:143a::,2001:240:143a:ffff:ffff:ffff:ffff:ffff,JP
2001:240:143b::,2001:240:1452:ffff:ffff:ffff:ffff:ffff,AU
2001:240:1453::,2001:240:1455:ffff:ffff:ffff:ffff:ffff,JP
2001:240:1456::,2001:240:1456:ffff:ffff:ffff:ffff:ffff,AU
2001:240:1457::,2001:240:1458:ffff:ffff:ffff:ffff:ffff,JP
2001:240:1459::,2001:240:1460:ffff:ffff:ffff:ffff:ffff,AU
2001:240:1461::,2001:240:1461:ffff:ffff:ffff:ffff:ffff,JP
2001:240:1462::,2001:240:1466:ffff:ffff:ffff:ffff:ffff,AU
2001:240:1467::,2001:240:1467:ffff:ffff:ffff:ffff:ffff,JP
2001:240:1468::,2001:240:146f:ffff:ffff:ffff:ffff:ffff,AU
2001:240:1470::,2001:240:1470:ffff:ffff:ffff:ffff:ffff,JP
2001:240:1471::,2001:240:1472:ffff:ffff:ffff:ffff:ffff,AU
2001:240:1473::,2001:240:1474:ffff:ffff:ffff:ffff:ffff,JP
2001:240:1475::,2001:240:1475:ffff:ffff:ffff:ffff:ffff,AU
2001:240:1476::,2001:240:1476:ffff:ffff:ffff:ffff:ffff,JP
2001:240:1477::,2001:240:147b:ffff:ffff:ffff:ffff:ffff,AU
2001:240:147c::,2001:240:147c:ffff:ffff:ffff:ffff:ffff,JP
2001:240:147d::,2001:240:147d:ffff:ffff:ffff:ffff:ffff,AU
2001:240:147e::,2001:240:147f:ffff:ffff:ffff:ffff:ffff,JP
2001:240:1480::,2001:240:1481:ffff:ffff:ffff:ffff:ffff,AU
2001:240:1482::,2001:240:1482:ffff:ffff:ffff:ffff:ffff,JP
2001:240:1483::,2001:240:1487:ffff:ffff:ffff:ffff:ffff,AU
2001:240:1488::,2001:240:1488:ffff:ffff:ffff:ffff:ffff,JP
2001:240:1489::,2001:240:1492:ffff:ffff:ffff:ffff:ffff,AU
2001:240:1493::,2001:240:1493:ffff:ffff:ffff:ffff:ffff,JP
2001:240:1494::,2001:240:1495:ffff:ffff:ffff:ffff:ffff,AU
2001:240:1496::,2001:240:1496:ffff:ffff:ffff:ffff:ffff,JP
2001:240:1497::,2001:240:1499:ffff:ffff:ffff:ffff:ffff,AU
2001:240:149a::,2001:240:149a:ffff:ffff:ffff:ffff:ffff,JP
2001:240:149b::,2001:240:149b:ffff:ffff:ffff:ffff:ffff,AU
2001:240:149c::,2001:240:149c:ffff:ffff:ffff:ffff:ffff,JP
2001:240:149d::,2001:240:149e:ffff:ffff:ffff:ffff:ffff,AU
2001:240:149f::,2001:240:149f:ffff:ffff:ffff:ffff:ffff,JP
2001:240:14a0::,2001:240:14a8:ffff:ffff:ffff:ffff:ffff,AU
2001:240:14a9::,2001:240:14a9:ffff:ffff:ffff:ffff:ffff,JP
2001:240:14aa::,2001:240:14ae:ffff:ffff:ffff:ffff:ffff,AU
2001:240:14af::,2001:240:14b0:ffff:ffff:ffff:ffff:ffff,JP
2001:240:14b1::,2001:240:14b9:ffff:ffff:ffff:ffff:ffff,AU
2001:240:14ba::,2001:240:14ba:ffff:ffff:ffff:ffff:ffff,JP
2001:240:14bb::,2001:240:14bb:ffff:ffff:ffff:ffff:ffff,AU
2001:240:14bc::,2001:240:14bc:ffff:ffff:ffff:ffff:ffff,JP
2001:240:14bd::,2001:240:14bf:ffff:ffff:ffff:ffff:ffff,AU
2001:240:14c0::,2001:240:14c0:ffff:ffff:ffff:ffff:ffff,JP
2001:240:14c1::,2001:240:14c4:ffff:ffff:ffff:ffff:ffff,AU
2001:240:14c5::,2001:240:14c5:ffff:ffff:ffff:ffff:ffff,JP
2001:240:14c6::,2001:240:14cc:ffff:ffff:ffff:ffff:ffff,AU
2001:240:14cd::,2001:240:14cd:ffff:ffff:ffff:ffff:ffff,JP
2001:240:14ce::,2001:240:14ce:ffff:ffff:ffff:ffff:ffff,AU
2001:240:14cf::,2001:240:14d0:ffff:ffff:ffff:ffff:ffff,JP
2001:240:14d1::,2001:240:14ea:ffff:ffff:ffff:ffff:ffff,AU
2001:240:14eb::,2001:240:14eb:ffff:ffff:ffff:ffff:ffff,JP
2001:240:14ec::,2001:240:14f1:ffff:ffff:ffff:ffff:ffff,AU
2001:240:14f2::,2001:240:14f2:ffff:ffff:ffff:ffff:ffff,JP
2001:240:14f3::,2001:240:1e00:1ff:ffff:ffff:ffff:ffff,AU
2001:240:1e00:200::,2001:240:1e00:2ff:ffff:ffff:ffff:ffff,JP
2001:240:1e00:300::,2001:240:1e00:3ff:ffff:ffff:ffff:ffff,AU
2001:240:1e00:400::,2001:240:1e00:4ff:ffff:ffff:ffff:ffff,JP
2001:240:1e00:500::,2001:240:1e00:10ff:ffff:ffff:ffff:ffff,AU
2001:240:1e00:1100::,2001:240:1e00:11ff:ffff:ffff:ffff:ffff,JP
2001:240:1e00:1200::,2001:240:1e00:19ff:ffff:ffff:ffff:ffff,AU
2001:240:1e00:1a00::,2001:240:1e00:1aff:ffff:ffff:ffff:ffff,JP
2001:240:1e00:1b00::,2001:240:1e00:1cff:ffff:ffff:ffff:ffff,AU
2001:240:1e00:1d00::,2001:240:1e00:1fff:ffff:ffff:ffff:ffff,JP
2001:240:1e00:2000::,2001:240:1e00:20ff:ffff:ffff:ffff:ffff,AU
2001:240:1e00:2100::,2001:240:1e00:21ff:ffff:ffff:ffff:ffff,JP
2001:240:1e00:2200::,2001:240:1e00:2bff:ffff:ffff:ffff:ffff,AU
2001:240:1e00:2c00::,2001:240:1e00:2cff:ffff:ffff:ffff:ffff,JP
2001:240:1e00:2d00::,2001:240:1e00:45ff:ffff:ffff:ffff:ffff,AU
2001:240:1e00:4600::,2001:240:1e00:46ff:ffff:ffff:ffff:ffff,JP
2001:240:1e00:4700::,2001:240:1e00:4bff:ffff:ffff:ffff:ffff,AU
2001:240:1e00:4c00::,2001:240:1e00:4cff:ffff:ffff:ffff:ffff,JP
2001:240:1e00:4d00::,2001:240:1e00:56ff:ffff:ffff:ffff:ffff,AU
2001:240:1e00:5700::,2001:240:1e00:5aff:ffff:ffff:ffff:ffff,JP
2001:240:1e00:5b00::,2001:240:1fff:ffff:ffff:ffff:ffff:ffff,AU
2001:240:2000::,2001:240:21ff:ffff:ffff:ffff:ffff:ffff,JP
2001:240:2200::,2001:240:22ff:ffff:ffff:ffff:ffff:ffff,AU
2001:240:2300::,2001:240:26ff:ffff:ffff:ffff:ffff:ffff,JP
2001:240:2700::,2001:240:27ff:ffff:ffff:ffff:ffff:ffff,AU
2001:240:2800::,2001:240:2aff:ffff:ffff:ffff:ffff:ffff,JP
2001:240:2b00::,2001:240:b5ff:ffff:ffff:ffff:ffff:ffff,AU
